createdat,createdby,modifiedat,modifiedby,agrupador_codigo,centrocosto_codigo
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1113000006
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1113000007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1113000008
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1113000009
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1121101001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1121101002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1121101003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1121101004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1121201001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1121201002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1121201003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1121201004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1121201005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1121201006
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1121201007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1121299001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1122101001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1123101001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1123102001
