id,createdat,createdby,modifiedat,modifiedby,material_producto_codigo,material_centrologistico_codigo,ejercicio,stockcompra1,stockcompra2,stockcompra3,stockcompra4,stockcompra5,stockcompra6,stockcompra7,stockcompra8,stockcompra9,stockcompra10,stockcompra11,stockcompra12,historico,bloqueouser,bloqueoadmin,escenario
b6581f16-04f6-4ac4-9257-dc12ad296f12,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000263,1000,2025,114.5300,97.5100,117.7400,117.1000,120.2500,116.0100,122.5700,122.6700,120.8000,121.2300,116.0200,118.0400,f,f,f,1
5e69aaf1-1a80-4208-8575-f7b6388ab1e9,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000360,6000,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
8f3abe81-1394-447a-9e49-9678448c0f5b,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000320,1000,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
3e43b7e9-12ee-43c8-857d-60996fe89c3c,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,24000162,5001,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
13500a54-f54f-4fcf-adab-ebe6ae46b723,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,24000017,5003,2025,183.7000,173.8000,184.8000,178.2000,180.4000,187.0000,191.4000,183.7000,192.5000,189.2000,193.6000,209.0000,f,f,f,1
36cb8ff5-5b2b-4b89-be2f-d7771d4b5a78,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000302,6010,2024,56.8500,56.8000,56.7900,18.9300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10000.0000,f,f,f,1
bbe4147c-dc22-4628-b368-b53fb064bbc2,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000005,1000,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
c4b19543-b508-4087-bcd1-98d0c0b41061,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000240,6010,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
143548f8-297f-40c8-8639-3c4d8ad9210c,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,24000150,5000,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
b1c6deee-4e8d-4be7-8777-a6ab71387932,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000260,6010,2025,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,f,f,f,1
