createdat,createdby,modifiedat,modifiedby,centrologistico_codigo,unidadproductiva_codigo,materialformula_codigo,material_codigo,ejercicio,cantidad01,cantidad02,cantidad03,cantidad04,cantidad05,cantidad06,cantidad07,cantidad08,cantidad09,cantidad10,cantidad11,cantidad12,escenario,bloqueouser,bloqueoadmin,historico
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000071,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,90.0000,150.3000,225.0000,307.5000,90.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000074,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4086.0000,5752.6140,9512.5000,15060.0000,4086.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000000,10000010,2024,155.1000,112.5000,585.1500,120.0000,322.5000,231.0000,555.0000,195.0000,135.0000,427.5000,142.5000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000000,10000011,2024,0.0000,0.0000,2328.5200,472.0000,1675.0000,0.0000,1196.0000,1708.0000,0.0000,0.0000,1444.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000000,10000012,2024,511.4200,130.0000,507.1300,104.0000,868.0000,200.2000,507.0000,364.0000,117.0000,370.5000,247.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000180,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.0000,125.2500,187.5000,256.2500,75.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000200,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,20.0400,30.0000,41.0000,12.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000210,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,100.3800,150.0000,205.0000,60.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000230,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,30.0010,22.0000,102.5000,30.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000261,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,102.0000,170.0000,255.0000,348.5000,102.0000,0.0000,1,f,f,t
