createdat,createdby,modifiedat,modifiedby,centrologistico_codigo,material_codigo,ejercicio,escenario,cantidad01,cantidad02,cantidad03,cantidad04,cantidad05,cantidad06,cantidad07,cantidad08,cantidad09,cantidad10,cantidad11,cantidad12,bloqueouser,bloqueoadmin,historico,total
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000030,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000031,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000034,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000035,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000037,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000038,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000039,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000040,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000041,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000043,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000044,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000048,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000049,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000050,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000053,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000055,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000058,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000059,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000060,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000061,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000062,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000063,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000064,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000066,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000068,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000079,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000082,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000084,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000087,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000090,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000100,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000110,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
