createdat,createdby,modifiedat,modifiedby,listamateriales,fechainiciovalidez,mensaje,fechafinvalidez,producto_codigo,centrologistico_codigo,numerolista,cantidadbase,nodo,contador,componente_codigo,numeroposicion,cantidad,unidadmedidacomp,relevantefabricacion,relevantecalcosto,utilizacion,alternativalista,historico
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20231121,"",00000000,12000002,1000,00000058,5000.000,00000037,00000074,10000297,0360,4.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20231122,"",00000000,12000001,1000,00000057,5000.000,00000034,00000068,10000294,0040,7.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20231122,"",00000000,12000001,1000,00000057,5000.000,00000036,00000072,10000290,0310,6.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20240207,"",00000000,12000001,1000,00000057,5000.000,00000037,00000074,10000297,0330,3.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20240207,"",00000000,12000001,1000,00000057,5000.000,00000039,00000078,10000291,0350,2.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20250121,"",00000000,12000001,1000,00000057,5000.000,00000042,00000084,10000320,0360,1.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20191227,"",00000000,12000002,1000,00000058,5000.000,00000028,00000056,10000053,0270,0.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20210922,"",00000000,12000001,1000,00000057,5000.000,00000027,00000054,10000180,0240,6.250,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20210922,"",00000000,12000002,1000,00000058,5000.000,00000030,00000060,10000180,0290,6.250,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20250303,"",00000000,12000001,1000,00000057,5000.000,00000043,00000086,10000200,0370,0.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20250820,"",00000000,12000001,1000,00000057,5000.000,00000045,00000090,10000298,0380,2.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20250820,"",00000000,12000002,1000,00000058,5000.000,00000043,00000086,10000200,0370,0.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20250820,"",00000000,12000002,1000,00000058,5000.000,00000044,00000088,10000044,0380,0.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20190514,"",00000000,12000003,1000,00000059,5000.000,00000025,00000050,10000012,0230,13.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20180625,"",00000000,12000003,1000,00000059,5000.000,00000017,00000034,10000057,0170,9.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20180625,"",00000000,12000004,1000,00000060,5000.000,00000016,00000032,10000010,0160,7.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000003,1000,00000059,5000.000,00000007,00000014,10000009,0070,175.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000003,1000,00000059,5000.000,00000008,00000016,10000280,0080,5.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000003,1000,00000059,5000.000,00000009,00000018,10000023,0090,1.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000003,1000,00000059,5000.000,00000010,00000020,10000044,0100,0.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000004,1000,00000060,5000.000,00000001,00000002,10000001,"",16.500,LB,t,X,1,1,t
