id,createdat,createdby,modifiedat,modifiedby,sociedadfi_codigo,ejercicio,escenario,centrocostoemisor_codigo,centrocostoreceptor_codigo,plancuenta_codigo,tipodistribucion_codigo,factor1,factor2,factor3,factor4,factor5,factor6,factor7,factor8,factor9,factor10,factor11,factor12,bloqueouser,bloqueoadmin
23fd84bd-826b-4193-bf19-15447340493d,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900003,1123311001,S42CFCCAGP,AVEDIA,3618301.4400,2992852.1911,4824389.6000,2864999.4496,5175715.9065,3086399.6124,3849173.6640,5181067.0140,3237516.1637,4512532.2110,4824409.1200,3394317.4451,f,f
97113932-fcf4-4068-a128-18b817122856,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1140000001,1123103001,S42CFEQPES,QUINTAL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,458.9615,f,f
ca6f43e2-fef0-4089-8edd-6027b1194dcb,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900003,1123307001,S42CFCCAGP,AVEDIA,7476003.3600,4141171.8361,8020416.2270,4748067.0715,7761704.1197,6407995.2000,6530819.6280,8028703.4026,5035811.2906,7024758.4069,7769689.8566,6084929.9189,f,f
e3df8d11-9dda-407f-b12c-57770cb69bef,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900003,1123104001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2476962.0000,f,f
0e206789-f8fc-4f9c-b509-6d1cdd29a463,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1129900091,1121201007,S42CFSENCH,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,242246.4000,f,f
7495376f-e287-40d8-96d4-9ec4cb78f5fe,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1129900091,1121201002,S42CFSENCH,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,258638.7386,f,f
2dc1ca33-74e3-46d5-b47e-5625006dfecd,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1129900091,1121201005,S42CFSENCH,AVEDIA,265137.4440,237551.1291,260335.0255,249871.5651,256066.2091,245224.0634,251263.7906,248595.7803,239030.4567,267735.2756,257045.9090,263492.9364,f,f
69a5830d-9338-45e0-afae-cf3ef3d9f340,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1129900091,1121201001,S42CFSENCH,AVEDIA,260269.5981,233144.5656,255442.7684,245126.6233,251152.2530,242014.2593,270106.0170,267431.0768,256733.3465,263151.1725,252073.7733,258336.2802,f,f
fe3fff20-68fb-4e5f-909c-23bb5227271e,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1129900091,1121201003,S42CFSENCH,AVEDIA,245064.0675,0.0000,262507.1205,251865.6796,258015.2840,246975.3738,252961.9680,250154.5702,239911.5986,245662.7337,235021.2928,241174.4619,f,f
870d2913-91e5-4dd3-a446-dab08d019a1c,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1129900091,1121201003,S42CFSENCH,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,245064.0675,f,f
937a26f1-a7ff-491e-b8fb-d5a9b7f5cb2d,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1129900091,1121201006,S42CFSENCH,AVEDIA,261822.9144,234556.4167,257018.1451,246660.6698,252747.2391,242010.8930,247943.0826,247410.7513,258072.2814,264553.5212,253453.6057,259780.8896,f,f
