createdat,createdby,modifiedat,modifiedby,unidadproductiva_codigo,centrocosto_codigo,material_codigo,ejercicio,escenario,operacion,operaciondescripcion,porcentaje,esporcentaje,cantidad01,cantidad02,cantidad03,cantidad04,cantidad05,cantidad06,cantidad07,cantidad08,cantidad09,cantidad10,cantidad11,cantidad12,bloqueouser,bloqueoadmin,historico
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131300001,21000070,2024,1,0020,Proceso Ulterior,25.0000,%,0.0000,0.0000,0.0000,0.0000,156.5550,96.2050,39.1275,0.0000,682.6650,569.5300,812.8425,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200001,21000070,2024,1,0030,Empaque,0.0000,"",0.0000,0.0000,0.0000,0.0000,626.2200,384.8200,156.5100,0.0000,2730.6600,2278.1200,3251.3700,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131300002,21000070,2024,1,0040,Fresco,9.4000,%,0.0000,0.0000,0.0000,0.0000,58.8647,36.1731,14.7119,0.0000,256.6820,214.1433,305.6288,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700002,21000073,2024,1,0010,Congelado,0.0000,"",10767.8500,99.5000,4640.9500,11515.1500,1419.9000,3885.5500,4520.5000,6721.3500,2164.2500,4923.7000,1054.6000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200001,13000003,2024,1,0010,Corte,0.0000,"",328845.6500,304528.1200,287645.5400,245869.6800,321315.1460,354519.1700,382169.2500,369772.4900,364251.4300,316710.9700,343805.5200,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200002,13000003,2024,1,0020,Deshuese,0.0000,"",328845.6500,304528.1200,287645.5400,245869.6800,321315.1460,354519.1700,382169.2500,369772.4900,364251.4300,316710.9700,343805.5200,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200001,13000016,2024,1,0010,Corte,0.0000,"",1035320.6700,1040682.4640,1057961.1760,990412.9250,1087077.3590,1098134.9010,1151607.4070,1076449.4950,1034962.8960,1002512.7980,989973.4030,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200001,21000060,2024,1,0010,Corte,0.0000,"",4283.9590,4501.0880,4360.5880,4879.1200,5823.2560,6154.8220,6725.0400,7767.6170,7719.3880,6723.4400,7028.1760,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131300001,21000060,2024,1,0020,Tenderizado,20.0000,%,856.7918,900.2176,872.1176,975.8240,1164.6512,1230.9644,1345.0080,1553.5234,1543.8776,1344.6880,1405.6352,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131600001,21000060,2024,1,0030,Empaque,0.0000,"",4283.9590,4501.0880,4360.5880,4879.1200,5823.2560,6154.8220,6725.0400,7767.6170,7719.3880,6723.4400,7028.1760,0.0000,f,f,t
